epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,725.33,1.24709,1.47039,1.11412,0.66575,0.81096,0.78829,0.49779,1.35508,1.07834,1.11771,3.64e-05,3.64e-05,3.64e-05
42,742.129,1.24736,1.44846,1.0998,0.64647,0.84497,0.7961,0.50097,1.34829,1.06593,1.11723,3.2935e-05,3.2935e-05,3.2935e-05
43,759.197,1.23999,1.43788,1.10079,0.65875,0.82114,0.79248,0.49553,1.34986,1.05747,1.11367,2.947e-05,2.947e-05,2.947e-05
44,776.4,1.22963,1.40846,1.09598,0.66668,0.80953,0.78956,0.49341,1.35989,1.04705,1.11406,2.6005e-05,2.6005e-05,2.6005e-05
45,793.668,1.20713,1.40084,1.09083,0.6348,0.86371,0.7866,0.49585,1.3527,1.05274,1.11039,2.254e-05,2.254e-05,2.254e-05
46,810.806,1.20473,1.38429,1.08545,0.67568,0.80105,0.79354,0.50309,1.346,1.04504,1.1093,1.9075e-05,1.9075e-05,1.9075e-05
47,827.908,1.19375,1.38643,1.09087,0.66433,0.83285,0.79456,0.49859,1.35609,1.04064,1.11204,1.561e-05,1.561e-05,1.561e-05
48,844.804,1.19011,1.35888,1.08777,0.66972,0.81727,0.79155,0.4996,1.35985,1.0388,1.11206,1.2145e-05,1.2145e-05,1.2145e-05
49,862.099,1.20674,1.35773,1.09496,0.66777,0.82912,0.7938,0.49758,1.35155,1.03902,1.10973,8.68e-06,8.68e-06,8.68e-06
50,878.928,1.20335,1.36286,1.09275,0.66866,0.82615,0.79288,0.49989,1.34209,1.0363,1.10871,5.215e-06,5.215e-06,5.215e-06
