epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1431.4,1.20818,1.23562,1.26038,0.63342,0.72178,0.72333,0.43635,1.44021,1.4748,1.34192,0.000106344,0.000106344,0.000106344
43,1464.63,1.21553,1.24574,1.26695,0.571,0.78197,0.71535,0.42948,1.44965,1.42165,1.33813,0.000104572,0.000104572,0.000104572
44,1497.8,1.20849,1.2085,1.2543,0.5662,0.76488,0.69835,0.41858,1.4552,1.52925,1.3479,0.0001028,0.0001028,0.0001028
45,1530.98,1.21418,1.17495,1.25251,0.61804,0.78006,0.72499,0.42404,1.49103,1.45727,1.35185,0.000101028,0.000101028,0.000101028
46,1564.19,1.20893,1.1259,1.26909,0.63318,0.75505,0.74739,0.44653,1.46195,1.33343,1.33692,9.92555e-05,9.92555e-05,9.92555e-05
47,1597.56,1.2255,1.10961,1.28274,0.59018,0.8109,0.74623,0.44464,1.45056,1.35609,1.33005,9.74834e-05,9.74834e-05,9.74834e-05
48,1630.79,1.17943,1.10422,1.2348,0.62003,0.81868,0.76576,0.44081,1.51371,1.20646,1.36003,9.57113e-05,9.57113e-05,9.57113e-05
49,1664,1.17915,1.05839,1.24471,0.60803,0.7824,0.72672,0.43898,1.43651,1.42535,1.31613,9.39392e-05,9.39392e-05,9.39392e-05
50,1697.2,1.1752,1.08337,1.23011,0.56921,0.79393,0.73122,0.43689,1.48108,1.38273,1.34371,9.21671e-05,9.21671e-05,9.21671e-05
51,1730.38,1.17528,1.08708,1.23721,0.62526,0.80117,0.75009,0.45646,1.44135,1.26257,1.31733,9.0395e-05,9.0395e-05,9.0395e-05
52,1763.73,1.15567,1.03405,1.22977,0.61614,0.85265,0.76058,0.46956,1.3996,1.20001,1.3047,8.86229e-05,8.86229e-05,8.86229e-05
53,1796.94,1.16702,1.0341,1.22159,0.62454,0.81379,0.74929,0.45544,1.42391,1.25481,1.31511,8.68508e-05,8.68508e-05,8.68508e-05
54,1830.08,1.14983,1.04384,1.23095,0.64258,0.76607,0.73255,0.44839,1.43118,1.38856,1.31846,8.50787e-05,8.50787e-05,8.50787e-05
55,1863.23,1.13565,0.98179,1.20938,0.61542,0.81244,0.73961,0.44528,1.46442,1.39553,1.33825,8.33066e-05,8.33066e-05,8.33066e-05
56,1896.41,1.15302,0.98062,1.2147,0.63078,0.85096,0.76683,0.46195,1.43301,1.17823,1.32143,8.15345e-05,8.15345e-05,8.15345e-05
57,1929.63,1.15338,0.98143,1.22113,0.60927,0.81901,0.75089,0.44739,1.46229,1.30056,1.33512,7.97624e-05,7.97624e-05,7.97624e-05
58,1962.92,1.12833,0.97277,1.22527,0.62175,0.82755,0.75837,0.44569,1.49547,1.20544,1.34944,7.79903e-05,7.79903e-05,7.79903e-05
59,1996.1,1.12256,0.94941,1.20287,0.65883,0.73187,0.70383,0.4294,1.47614,1.54919,1.34112,7.62182e-05,7.62182e-05,7.62182e-05
60,2029.28,1.11911,0.92511,1.21384,0.63072,0.80917,0.75303,0.43867,1.49872,1.21594,1.36734,7.44461e-05,7.44461e-05,7.44461e-05
61,2062.51,1.11929,0.92362,1.19741,0.62902,0.80772,0.74549,0.44355,1.4713,1.30987,1.3448,7.2674e-05,7.2674e-05,7.2674e-05
62,2095.77,1.11151,0.9064,1.20753,0.6137,0.82134,0.72679,0.43552,1.47041,1.39396,1.34867,7.09019e-05,7.09019e-05,7.09019e-05
63,2128.91,1.13403,0.90251,1.20986,0.62651,0.82297,0.76329,0.4484,1.47995,1.15282,1.34553,6.91298e-05,6.91298e-05,6.91298e-05
64,2162,1.11729,0.88737,1.21522,0.61735,0.83816,0.73478,0.43237,1.48338,1.25971,1.34515,6.73577e-05,6.73577e-05,6.73577e-05
65,2195.22,1.1166,0.89637,1.19332,0.63817,0.81689,0.75779,0.44107,1.51308,1.13166,1.37015,6.55856e-05,6.55856e-05,6.55856e-05
66,2228.4,1.09677,0.86379,1.19856,0.65416,0.82286,0.74073,0.43521,1.51386,1.24355,1.37043,6.38135e-05,6.38135e-05,6.38135e-05
67,2261.44,1.08286,0.87751,1.18715,0.63399,0.82428,0.75484,0.44741,1.48272,1.2105,1.35605,6.20414e-05,6.20414e-05,6.20414e-05
68,2294.58,1.08106,0.85353,1.19145,0.63533,0.81972,0.73629,0.42966,1.54744,1.2967,1.40603,6.02693e-05,6.02693e-05,6.02693e-05
69,2327.68,1.08076,0.83918,1.17418,0.64661,0.79798,0.75871,0.44252,1.51475,1.1862,1.3716,5.84972e-05,5.84972e-05,5.84972e-05
70,2360.77,1.07593,0.82695,1.18155,0.63296,0.83455,0.75782,0.42238,1.59046,1.18548,1.41581,5.67251e-05,5.67251e-05,5.67251e-05
71,2393.92,1.07824,0.83105,1.18153,0.62737,0.80677,0.746,0.43522,1.5314,1.22407,1.38438,5.4953e-05,5.4953e-05,5.4953e-05
72,2427.07,1.0923,0.81725,1.18894,0.60957,0.80758,0.72208,0.39937,1.64891,1.3661,1.46733,5.31809e-05,5.31809e-05,5.31809e-05
73,2460.11,1.06938,0.81388,1.1763,0.61951,0.78731,0.71992,0.40211,1.62146,1.38725,1.45052,5.14088e-05,5.14088e-05,5.14088e-05
74,2493.19,1.03932,0.81147,1.15975,0.63324,0.82726,0.74953,0.43156,1.55519,1.19305,1.39722,4.96367e-05,4.96367e-05,4.96367e-05
75,2526.24,1.05374,0.80112,1.16651,0.61814,0.80129,0.7244,0.39514,1.67153,1.38163,1.50151,4.78646e-05,4.78646e-05,4.78646e-05
76,2559.33,1.05705,0.79117,1.16699,0.61968,0.81339,0.73153,0.39095,1.73353,1.31408,1.53514,4.60925e-05,4.60925e-05,4.60925e-05
77,2592.44,1.04797,0.77915,1.16505,0.61021,0.81595,0.73371,0.40093,1.66065,1.32435,1.48362,4.43204e-05,4.43204e-05,4.43204e-05
78,2625.47,1.03825,0.77043,1.1627,0.63041,0.80079,0.74496,0.42693,1.5748,1.27765,1.43,4.25483e-05,4.25483e-05,4.25483e-05
79,2658.56,1.04774,0.75937,1.16372,0.61814,0.79113,0.72271,0.40176,1.63329,1.37259,1.46437,4.07762e-05,4.07762e-05,4.07762e-05
80,2691.64,1.05379,0.74745,1.15699,0.64562,0.76855,0.73571,0.42871,1.52424,1.28189,1.38502,3.90041e-05,3.90041e-05,3.90041e-05
81,2724.68,1.04804,0.7604,1.15822,0.61476,0.81913,0.7361,0.44777,1.44971,1.25767,1.33285,3.7232e-05,3.7232e-05,3.7232e-05
82,2757.79,1.02711,0.74562,1.14664,0.6267,0.78923,0.70276,0.42227,1.46864,1.36729,1.35193,3.54599e-05,3.54599e-05,3.54599e-05
83,2790.85,1.01292,0.7456,1.14771,0.61935,0.79116,0.72303,0.43289,1.46403,1.32519,1.34784,3.36878e-05,3.36878e-05,3.36878e-05
84,2823.86,1.01459,0.74279,1.13704,0.60736,0.80196,0.71461,0.42747,1.50246,1.35225,1.38275,3.19157e-05,3.19157e-05,3.19157e-05
85,2856.97,1.00314,0.73671,1.14007,0.61303,0.8181,0.71698,0.42132,1.51152,1.31014,1.37937,3.01436e-05,3.01436e-05,3.01436e-05
86,2890.09,0.98409,0.71968,1.1253,0.63005,0.75694,0.71014,0.41097,1.55115,1.42937,1.41779,2.83715e-05,2.83715e-05,2.83715e-05
87,2923.23,0.96445,0.71169,1.11992,0.61879,0.79187,0.71307,0.40625,1.57974,1.358,1.43838,2.65994e-05,2.65994e-05,2.65994e-05
88,2956.36,0.95539,0.69662,1.1081,0.62368,0.79508,0.72153,0.41151,1.57734,1.37512,1.43927,2.48273e-05,2.48273e-05,2.48273e-05
89,2989.55,0.96028,0.70729,1.11695,0.6329,0.7693,0.71292,0.41534,1.54725,1.39648,1.41513,2.30552e-05,2.30552e-05,2.30552e-05
90,3022.61,0.94153,0.69514,1.111,0.61617,0.80175,0.7246,0.42701,1.51398,1.35878,1.39005,2.12831e-05,2.12831e-05,2.12831e-05
91,3057.06,0.93738,0.68378,1.1061,0.63325,0.77101,0.7235,0.42889,1.51885,1.34707,1.39235,1.9511e-05,1.9511e-05,1.9511e-05
92,3090.02,0.92132,0.67519,1.09763,0.61556,0.79168,0.71772,0.42323,1.52825,1.37436,1.40048,1.77389e-05,1.77389e-05,1.77389e-05
93,3123.02,0.91869,0.67981,1.09574,0.61498,0.79303,0.71605,0.42002,1.53709,1.35139,1.40809,1.59668e-05,1.59668e-05,1.59668e-05
94,3156.16,0.9143,0.67211,1.09574,0.62157,0.79494,0.71404,0.41949,1.53833,1.37447,1.412,1.41947e-05,1.41947e-05,1.41947e-05
95,3189.16,0.91169,0.66622,1.09595,0.62262,0.80193,0.71261,0.41675,1.54408,1.37687,1.41494,1.24226e-05,1.24226e-05,1.24226e-05
96,3222.25,0.91525,0.67904,1.09138,0.61815,0.80215,0.71634,0.41952,1.54095,1.37397,1.41795,1.06505e-05,1.06505e-05,1.06505e-05
97,3255.28,0.89697,0.65753,1.09426,0.6219,0.79148,0.71307,0.42225,1.52361,1.37883,1.40662,8.8784e-06,8.8784e-06,8.8784e-06
98,3288.31,0.90735,0.66839,1.09111,0.62135,0.79332,0.71453,0.41861,1.53813,1.37389,1.41922,7.1063e-06,7.1063e-06,7.1063e-06
99,3321.37,0.89279,0.65053,1.09109,0.62155,0.78987,0.71146,0.41824,1.53514,1.38286,1.41741,5.3342e-06,5.3342e-06,5.3342e-06
100,3354.31,0.90009,0.66066,1.09003,0.62377,0.78319,0.7099,0.41566,1.5424,1.40051,1.42115,3.5621e-06,3.5621e-06,3.5621e-06
